USERID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,浏览器,操作系统,屏幕宽度,审批状态,是否一次性作答完成,
	764077949963210754,	771706913770577921,孙宇涵,	2023-10-31 12:17:13.0,9分26秒,WEB,直接访问,111.183.120.168,Edge,Win,1528*790,手动采纳,是,
	735065258095546369,	771707146294530049,天蝎小龙虾,	2023-10-31 12:14:16.0,5分34秒,WEB,直接访问,223.106.3.15,Edge,Mac,1311*694,手动采纳,是,
	720215098982924288,	771707195065896962,试试,	2023-10-31 12:18:52.0,9分59秒,WEB,直接访问,124.236.97.171,Chrome,Win,1517*674,手动采纳,是,
	718581844601208832,	771707510121041921,zkw,	2023-10-31 12:16:49.0,6分40秒,WEB,直接访问,125.39.179.59,Chrome,Win,1920*931,手动采纳,是,
	680051628862078976,	771707848538333185,惠风龢畅,	2023-10-31 12:22:17.0,8分58秒,WEB,直接访问,111.33.240.224,Chrome,Win,1536*775,手动采纳,否,
	633790726911557632,	771707877021851650,XXC,	2023-10-31 12:18:17.0,6分40秒,WEB,直接访问,115.230.127.95,Chrome,Win,1707*775,手动采纳,是,
	756640185034477570,	771708101765369857,尔雅,	2023-10-31 12:23:44.0,11分14秒,WEB,直接访问,221.2.82.130,Chrome,Win,1594*756,手动采纳,是,
	688784182117138432,	771708618465873922,guozekai,	2023-10-31 12:25:05.0,10分32秒,WEB,直接访问,27.185.205.123,Chrome,Win,1707*786,手动采纳,是,
	763807579603472386,	771708984221638657,用户36779,	2023-10-31 12:26:31.0,10分32秒,WEB,直接访问,221.192.181.4,Edge,Win,1528*750,手动采纳,否,
	724701248414023680,	771709343052734465,收集金豆豆,	2023-10-31 12:31:43.0,14分18秒,WEB,直接访问,106.114.220.243,Chrome,Win,1294*706,手动采纳,是,
	766049476896100353,	771709407905062913,用户37747,	2023-10-31 12:23:56.0,6分16秒,WEB,直接访问,113.0.51.214,Edge,Win,1528*716,手动采纳,是,
	749636547061747713,	771709685521850370,博睿,	2023-10-31 12:25:49.0,7分2秒,WEB,直接访问,36.138.36.47,Chrome,Win,1366*657,手动采纳,是,
	770428348274053122,	771709780220973057,用户38748,	2023-10-31 12:30:55.0,11分45秒,WEB,直接访问,111.183.120.168,Chrome,Win,1536*754,手动采纳,是,
	633773426204475392,	771709784285126657,MINGLI,	2023-10-31 12:28:18.0,9分8秒,WEB,直接访问,61.164.246.149,Chrome,Win,1707*775,手动采纳,是,
	770196006494277634,	771711013631434754,韩寒,	2023-10-31 12:27:47.0,3分44秒,WEB,直接访问,223.10.236.233,Chrome,Win,1322*642,手动采纳,是,
