USERID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,浏览器,操作系统,屏幕宽度,审批状态,是否一次性作答完成,
	763441743210483714,	787991173875896321,用户36478,	2023-12-15 10:39:51.0,4分14秒,WEB,直接访问,202.96.15.252,Edge,Win,1872*966,手动采纳,是,
	656295428198760448,	787991223536328706,董小姐,	2023-12-15 10:42:36.0,6分48秒,WEB,直接访问,211.90.237.249,Chrome,Win,2304*1042,手动采纳,是,
	786688590502694913,	787991506140143618,大橙子3686,	2023-12-15 10:44:27.0,7分32秒,WEB,直接访问,61.169.68.226,Edge,Win,1392*778,手动采纳,是,
	777098957192171521,	787992831536013313,鸭,	2023-12-15 10:50:01.0,7分35秒,WEB,直接访问,218.199.207.117,,Mac,393*668,手动采纳,否,
	595169798766198784,	787993029721198593,毛毛虫,	2023-12-15 10:47:24.0,4分25秒,WEB,直接访问,120.204.203.31,Chrome,Win,1600*712,手动采纳,是,
	787037378752811010,	787993684594659329,子晞,	2023-12-15 10:49:48.0,4分13秒,WEB,直接访问,36.137.59.62,Chrome,Win,1366*657,手动采纳,是,
	772754222340116482,	787993731063353346,用户39098,	2023-12-15 10:54:55.0,9分8秒,WEB,直接访问,123.235.174.155,Chrome,Win,1536*775,手动采纳,是,
	637028765926424576,	787993853352480769,火火火火,	2023-12-15 10:57:51.0,11分22秒,WEB,直接访问,112.40.47.198,,Mac,414*808,手动采纳,否,
	787012100580057090,	787993933014896642,用户41389,	2023-12-15 10:49:23.0,2分49秒,WEB,直接访问,113.92.196.239,Chrome,Win,904*631,手动采纳,是,
	746306344851869697,	787994093866455041,用户32377,	2023-12-15 10:50:57.0,3分44秒,WEB,直接访问,36.143.94.90,Edge,Win,1488*750,手动采纳,是,
	767402290373201922,	787994194101932033,童岚芬,	2023-12-15 10:58:09.0,10分32秒,WEB,直接访问,140.237.133.56,Edge,Win,1872*958,手动采纳,是,
	776797303246950402,	787994439107878914,用户39817,	2023-12-15 10:55:13.0,6分39秒,WEB,直接访问,182.90.246.41,Chrome,Win,1360*624,手动采纳,是,
	634031410327322624,	787994563322191874,柠檬益力多,	2023-12-15 10:54:27.0,5分22秒,WEB,直接访问,123.156.226.35,Chrome,Win,1600*712,手动采纳,是,
	687758948400365568,	787994736723234818,依凡,	2023-12-15 10:58:47.0,9分2秒,WEB,直接访问,39.162.155.93,Chrome,Win,1422*639,手动采纳,是,
	750853109491961857,	787994816821858306,用户33204,	2023-12-15 10:58:43.0,8分38秒,WEB,直接访问,183.199.172.37,Edge,Win,1232*645,手动采纳,是,
	688779620236918784,	787994994530324482,高学成,	2023-12-15 10:59:54.0,9分6秒,WEB,直接访问,183.48.46.183,Edge,Mac,1232*616,手动采纳,是,
	769979838697312258,	787995826533437442,桔子1314,	2023-12-15 11:03:35.0,9分30秒,WEB,直接访问,120.230.27.87,Chrome,Win,1280*551,手动采纳,是,
	781990149121904642,	787997701014032386,用户40583,	2023-12-15 11:06:25.0,4分52秒,WEB,直接访问,117.150.6.2,Chrome,Win,1384*632,手动采纳,是,
	767506261507051521,	787998284819206146,疯狂假期,	2023-12-15 11:13:16.0,9分24秒,WEB,直接访问,61.138.177.19,Edge,Win,1528*708,手动采纳,是,
	598856622046969856,	787998858843262978,爱购i,	2023-12-15 11:14:20.0,8分12秒,WEB,直接访问,106.6.191.78,Edge,Win,1528*750,手动采纳,是,
	598842647070638080,	787999574403981313,花开花落,	2023-12-15 11:14:46.0,5分47秒,WEB,直接访问,36.137.135.198,Chrome,Win,1536*715,手动采纳,是,
