Num,UserId,Subject IDs,Subject Name,Time,Duration,Source,Source Details,IP,NodeId,Node,Env_Q1,Env_Q2_item1,Env_Q2_item2,Env_Q2_item3,Env_Q2_item4,Env_Q3,Env_Q4,Env_Q5,Env_Q6,Env_Q7,Env_Q8,Env_Q9,Env_Q10,NodeId,Node,Env_Q1,Env_Q2,Env_Q3,Env_Q4,Env_Q5,
序号,用户ID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,节点id,节点名称,1、您是否参加过类似的实验？词汇分类？图形匹配？类似的问卷调查？,2、参加过哪种类似的实验？,2、参加过哪种类似的实验？,2、参加过哪种类似的实验？,2、参加过哪种类似的实验？,3、距离您上次参加此类测试的时间间隔为：,4、您在进行实验的过程中，实验是否正常进行？,5、您在按键行为实验的全程是否全屏？,6、请您描述一下具体出现的问题，以及发生问题的实验阶段？,7、您在进行实验的过程中，是否受到干扰？,8、请您描述一下具体受到什么干扰，以及干扰发生的时间点？,9、对此实验的建议和意见,10、您认为该实验的目的是什么？,节点id,节点名称,1、您当前是否处于一个安静的环境？,2、您当前设备的网络环境是否稳定？,3、您是否已经退出电脑上登陆的所有可能弹窗的相关软件 ？,4、您的手机是否也保持熄屏状态，或者不在视线范围内 ？,5、您是否平放电脑，并且保持身体挺直？,
1,	766966737248980993,	796698197685964801,	言,	2024-01-08 12:00:35,46分23秒,WEB,直接访问,113.251.156.94,	796693410034622468,问题反馈,是,词汇分类（自我—他人；积极—消极）,图形匹配（图形—文字标签）,-888,-888,A.一周内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,很好	,注意力和专注地的辨别	,	796693410789597186,测试环境-1,是,是,是,是,是,
2,	775105837449613314,	796699703650689025,	用户39518,	2024-01-08 12:27:39,1小时7分28秒,WEB,直接访问,61.158.146.21,	796693410034622468,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,考察反应能力	,	796693410789597186,测试环境-1,是,是,是,是,是,
3,	791708952864890881,	796714716398620673,	用户42605,	2024-01-08 13:31:50,1小时11分47秒,WEB,直接访问,1.180.115.95,	796693410034622468,问题反馈,否,-888,-888,类似的问卷调查,-888,A.一周内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,看图形时，图形能不能鲜艳一点	,了解测试人的反应能力，和做事持之以恒的能力	,	796693410789597186,测试环境-1,是,是,是,是,是,
4,	796469037470195714,	796724422051504130,	用户43140,	2024-01-08 14:13:49,1小时15分25秒,WEB,直接访问,119.180.178.220,	796693410034622468,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,很好	,测试注意力	,	796693410789597186,测试环境-1,是,是,是,是,是,
5,	790996128928768002,	796727963403161601,	用户42435,	2024-01-08 14:17:15,1小时4分47秒,WEB,直接访问,39.189.58.169,	796693410034622468,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,考验反应能力以及分辨能力	,	796693410789597186,测试环境-1,是,是,是,是,是,
6,	621680854329982976,	796733517823352833,	珍主,	2024-01-08 14:36:08,1小时1分35秒,WEB,直接访问,140.249.23.45,	796693410034622468,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,研究反应能力与观察力	,	796693410789597186,测试环境-1,是,是,是,是,是,
7,	796469535413772289,	796735354618126337,	用户43141,	2024-01-08 15:27:15,1小时9分46秒,WEB,直接访问,183.216.230.12,	796693410034622468,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,刚开始图形匹配练习时太快了，可以慢慢加速，总是反应不过来。	,测试使用者的反应速度，或者测试连续几个相同的答案后忽然变成另一个答案时，人们的反应或速度。	,	796693410789597186,测试环境-1,是,是,是,是,是,
8,	777135417253433345,	796736074943827970,	西瓜一,	2024-01-08 15:00:39,1小时15分57秒,WEB,直接访问,39.144.63.209,	796693410034622468,问题反馈,是,词汇分类（自我—他人；积极—消极）,图形匹配（图形—文字标签）,类似的问卷调查,-888,D.三个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,可以添加一些有趣的图案上去。	,测试不同的人的反应能力。	,	796693410789597186,测试环境-1,是,是,是,是,是,
9,	793067703773569025,	796748066819674114,	用户42817,	2024-01-08 15:29:51,57分29秒,WEB,直接访问,111.215.140.190,	796693410034622468,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,感觉组数太少了，没有达到100%有点懊恼	,测试反应速度之类的？	,	796693410789597186,测试环境-1,是,是,是,是,是,
