USERID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,浏览器,操作系统,屏幕宽度,审批状态,是否一次性作答完成,
	766966737248980993,	796467239351226370,言,	2024-01-07 20:05:14.0,8分46秒,WEB,直接访问,183.227.19.154,Chrome,Win,1366*657,手动采纳,是,
	792726336467771393,	796467909525381121,用户42775,	2024-01-07 20:09:52.0,10分44秒,WEB,直接访问,61.138.177.6,,Mac,1080*682,手动采纳,是,
	791708952864890881,	796468263172317185,用户42605,	2024-01-07 20:06:16.0,5分45秒,WEB,直接访问,1.180.115.95,Chrome,Win,1880*930,手动采纳,是,
	789237328983101441,	796468390091956225,用户41844,	2024-01-07 20:06:30.0,5分29秒,WEB,直接访问,117.30.118.39,Firefox,Win,1536*711,手动采纳,是,
	793067703773569025,	796468674881130497,用户42817,	2024-01-07 20:09:35.0,7分25秒,WEB,直接访问,111.215.140.190,Chrome,Win,1536*783,手动采纳,是,
	796468599748435970,	796468880498495490,用户43138,	2024-01-07 20:11:51.0,8分52秒,WEB,直接访问,171.122.152.230,Chrome,Win,1661*787,手动采纳,是,
	634477074911854592,	796468942507085826,wanghui,	2024-01-07 20:16:27.0,13分14秒,WEB,直接访问,42.49.68.49,Chrome,Win,1530*720,手动采纳,是,
	759010897925771266,	796469029215932418,朝日,	2024-01-07 20:22:05.0,18分31秒,WEB,直接访问,42.49.68.49,Edge,Win,1528*750,手动采纳,是,
	772056166992973826,	796469146371104770,易笙,	2024-01-07 20:13:17.0,9分15秒,WEB,直接访问,223.104.19.217,Chrome,Win,1174*661,手动采纳,是,
	794290486587301890,	796469214146990082,用户42939,	2024-01-07 20:10:54.0,6分35秒,WEB,直接访问,111.215.140.190,Edge,Win,1912*965,手动采纳,是,
	796469037470195714,	796469285840228353,用户43140,	2024-01-07 20:09:07.0,4分32秒,WEB,直接访问,119.180.178.220,Chrome,Win,1440*810,手动采纳,是,
	774978739443601410,	796469487305232386,鹿易乐,	2024-01-07 20:10:11.0,4分48秒,WEB,直接访问,58.20.17.236,Chrome,Win,1366*688,手动采纳,是,
	796080806387916801,	796469633954750465,用户43089,	2024-01-07 20:15:48.0,8分2秒,WEB,直接访问,117.61.104.209,Edge,Win,1488*790,手动采纳,否,
	775105837449613314,	796469852129861633,用户39518,	2024-01-07 20:22:06.0,15分16秒,WEB,直接访问,221.14.64.119,Chrome,Mac,1440*860,手动采纳,是,
	796469824262905858,	796470352925691905,用户43142,	2024-01-07 20:16:37.0,7分47秒,WEB,直接访问,183.227.23.233,Chrome,Win,1434*775,手动采纳,是,
	796470145605312513,	796470446206885889,用户43143,	2024-01-07 20:16:49.0,7分36秒,WEB,直接访问,120.68.0.2,Chrome,Win,1496*752,手动采纳,是,
	796469535413772289,	796470480264761345,用户43141,	2024-01-07 20:19:20.0,9分59秒,WEB,直接访问,117.136.123.22,Chrome,Win,1280*677,手动采纳,是,
	790996128928768002,	796470706631221249,用户42435,	2024-01-07 20:19:22.0,9分7秒,WEB,直接访问,39.189.23.121,Edge,Win,1488*758,手动采纳,是,
	755482622574202882,	796471254306660353,追影,	2024-01-07 20:18:29.0,6分5秒,WEB,直接访问,27.151.103.109,Edge,Win,1653*834,手动采纳,是,
	783652100818341890,	796471883691335682,用户56756,	2024-01-07 20:27:42.0,12分47秒,WEB,直接访问,111.25.180.210,Chrome,Win,1280*631,手动采纳,是,
	792475678095319042,	796471976930713602,用户42756,	2024-01-07 20:21:58.0,6分40秒,WEB,直接访问,112.81.163.73,Chrome,Win,1536*775,手动采纳,是,
	741973812891095042,	796472081100574721,夏知,	2024-01-07 20:23:34.0,7分53秒,WEB,直接访问,223.104.130.100,Chrome,Win,1536*775,手动采纳,是,
	777135417253433345,	796472837312487426,西瓜一,	2024-01-07 20:28:21.0,9分39秒,WEB,直接访问,39.144.61.245,Chrome,Win,1536*703,手动采纳,是,
	621680854329982976,	796478992684421122,珍主,	2024-01-07 20:47:00.0,3分51秒,WEB,直接访问,140.249.23.45,Edge,Win,1528*750,手动采纳,是,
	633748719031812096,	796479287715958786,xiuyi,	2024-01-07 20:48:12.0,3分51秒,WEB,直接访问,113.201.37.239,Chrome,Win,1536*703,手动采纳,是,
