Num,UserId,Subject IDs,Subject Name,Time,Duration,Source,Source Details,IP,NodeId,Node,Env_Q1,Env_Q2_item1,Env_Q2_item2,Env_Q2_item3,Env_Q2_item4,Env_Q3,Env_Q4,Env_Q5,Env_Q6,Env_Q7,Env_Q8,Env_Q9,Env_Q10,NodeId,Node,Env_Q1,Env_Q2,Env_Q3,Env_Q4,Env_Q5,
序号,用户ID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,节点id,节点名称,1、您是否参加过类似的实验？词汇分类？图形匹配？类似的问卷调查？,2、参加过哪种类似的实验？,2、参加过哪种类似的实验？,2、参加过哪种类似的实验？,2、参加过哪种类似的实验？,3、距离您上次参加此类测试的时间间隔为：,4、您在进行实验的过程中，实验是否正常进行？,5、您在按键行为实验的全程是否全屏？,6、请您描述一下具体出现的问题，以及发生问题的实验阶段？,7、您在进行实验的过程中，是否受到干扰？,8、请您描述一下具体受到什么干扰，以及干扰发生的时间点？,9、对此实验的建议和意见,10、您认为该实验的目的是什么？,节点id,节点名称,1、您当前是否处于一个安静的环境？,2、您当前设备的网络环境是否稳定？,3、您是否已经退出电脑上登陆的所有可能弹窗的相关软件 ？,4、您的手机是否也保持熄屏状态，或者不在视线范围内 ？,5、您是否平放电脑，并且保持身体挺直？,
1,	598907506583928832,	776757699345125378,	清尘,	2023-11-14 11:26:59,49分12秒,WEB,直接访问,124.236.97.171,	774799723570925570,问题反馈,否,-888,-888,-888,从无,C.一个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,反应能力	,	774799724325900291,测试环境-1,是,是,是,是,是,
2,	774306025401749506,	776759129665576962,	你工人爷爷来啦,	2023-11-14 22:55:11,1小时9分27秒,WEB,直接访问,39.176.195.125,	774799723570925570,问题反馈,是,-888,-888,类似的问卷调查,-888,C.一个月内,A.一切正常,是,-999,B.我受到他人干扰,最开始宿舍内有舍友说笑，后面基本安静。	,挺好的，就是有点晃眼睛。	,可能和测试反应速度、专注度有关。	,	774799724325900291,测试环境-1,是,是,是,是,是,
3,	734083981330616322,	776763532128817154,	kingsz,	2023-11-14 12:28:05,1小时27分7秒,WEB,直接访问,36.148.138.221,	774799723570925570,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,建议在休息环节同时添加小段轻音乐，进行强制性休息放松。	,测试参与者大脑判断反应能力，并了解每个人的对测试题回答的真实想法，收集每个人相关资料后用于大脑相关研究。	,	774799724325900291,测试环境-1,是,是,是,是,是,
4,	768419588089319425,	776775823825969154,	涵熙,	2023-11-14 12:38:20,48分31秒,WEB,直接访问,124.236.97.170,	774799723570925570,问题反馈,是,词汇分类（自我—他人；积极—消极）,-888,-888,-888,C.一个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,反应力	,	774799724325900291,测试环境-1,是,是,是,是,是,
5,	557541487416442880,	776827234739691522,	meimei_o,	2023-11-14 16:23:12,1小时9分7秒,WEB,直接访问,27.190.99.39,	774799723570925570,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,研究人的思维能力	,	774799724325900291,测试环境-1,是,是,是,是,是,
6,	631127599740878848,	776838197836779521,	为谁流眼泪,	2023-11-14 16:49:48,52分9秒,WEB,直接访问,36.98.61.54,	774799723570925570,问题反馈,否,-888,-888,-888,从无,D.三个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,无	,	774799724325900291,测试环境-1,是,是,是,是,是,
7,	729745091731918850,	776842070156644354,	累萝,	2023-11-14 17:03:42,50分27秒,WEB,直接访问,36.137.159.85,	774799723570925570,问题反馈,是,词汇分类（自我—他人；积极—消极）,-888,-888,-888,C.一个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,没有	,专注力	,	774799724325900291,测试环境-1,是,是,是,是,是,
8,	730010828753080322,	776867576352481281,	岸西,	2023-11-14 18:43:50,49分25秒,WEB,直接访问,58.221.59.68,	774799723570925570,问题反馈,是,词汇分类（自我—他人；积极—消极）,-888,-888,-888,D.三个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,认知能力	,	774799724325900291,测试环境-1,是,是,是,是,是,
9,	637378161314627584,	776881917344751617,	干燥小狗,	2023-11-14 20:01:12,1小时9分48秒,WEB,直接访问,183.160.21.185,	774799723570925570,问题反馈,是,词汇分类（自我—他人；积极—消极）,-888,-888,-888,E.半年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,测试反应的速度	,	774799724325900291,测试环境-1,是,是,是,是,是,
10,	590502391271391232,	776884785825189890,	落花殇,	2023-11-14 20:14:56,1小时12分8秒,WEB,直接访问,116.181.10.215,	774799723570925570,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,研究人们对自己的了解程度	,	774799724325900291,测试环境-1,是,是,是,是,是,
11,	634786876431007744,	776893061543370753,	卡布奇洛,	2023-11-14 20:45:02,1小时9分21秒,WEB,直接访问,115.230.127.95,	774799723570925570,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,图片闪有点眼花	,研究性格	,	774799724325900291,测试环境-1,是,是,是,是,是,
12,	634785170985058304,	776944109884805122,	虎鲸,	2023-11-15 00:11:16,1小时12分45秒,WEB,直接访问,222.186.57.63,	774799723570925570,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,实验有些无聊，时间长	,记忆力考验	,	774799724325900291,测试环境-1,是,是,是,是,是,
13,	609032333906935808,	776946077881602049,	王得鱼,	2023-11-15 00:08:50,1小时2分30秒,WEB,直接访问,220.202.148.233,	774799723570925570,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,题量太多，	,测试反应速度和记忆能力	,	774799724325900291,测试环境-1,是,是,是,是,是,
14,	634785034254942208,	777104297904185345,	繁星点点,	2023-11-15 10:46:32,1小时11分29秒,WEB,直接访问,36.133.43.95,	774799723570925570,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,实验过程会疲惫，能缩短时间就好了	,分辨自我性格	,	774799724325900291,测试环境-1,是,是,是,是,是,
15,	634787525419859968,	777191756839133186,	苦gua,	2023-11-15 16:34:01,1小时11分27秒,WEB,直接访问,219.151.28.69,	774799723570925570,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,没有意见	,记忆 性格 	,	774799724325900291,测试环境-1,是,是,是,是,是,
16,	598932304420667392,	777210441117081601,	哈哈哈55223,	2023-11-15 17:28:16,51分27秒,WEB,直接访问,36.139.100.61,	774799723570925570,问题反馈,否,-888,-888,-888,从无,D.三个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,没有	,无	,	774799724325900291,测试环境-1,是,是,是,是,是,
17,	718788150628974592,	777267206542331906,	若水,	2023-11-15 21:24:06,1小时1分43秒,WEB,直接访问,223.148.131.121,	774799723570925570,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,测试反应、记忆、判断能力	,	774799724325900291,测试环境-1,是,是,是,是,是,
18,	622124635634270208,	777298794302808066,	wahh,	2023-11-15 23:37:37,1小时9分42秒,WEB,直接访问,119.39.248.15,	774799723570925570,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,测试对图片把握的反应能力	,	774799724325900291,测试环境-1,是,是,是,是,是,
