Num,UserId,Subject IDs,Subject Name,Time,Duration,Source,Source Details,IP,NodeId,Node,Env_Q1,Env_Q2,Env_Q3,Env_Q4,Env_Q5,
序号,用户ID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,节点id,节点名称,1、您当前是否处于一个安静的环境？,2、您当前设备的网络环境是否稳定？,3、您是否已经退出电脑上登陆的所有可能弹窗的相关软件 ？,4、您的手机是否也保持熄屏状态，或者不在视线范围内 ？,5、您是否平放电脑，并且保持身体挺直？,
1,	797758262056460290,	802184631767146498,	耀辉,	2024-01-23 14:50:11,14分51秒,WEB,直接访问,115.230.127.95,	802179738788696068,测试环境-1,是,是,是,是,是,
2,	796472353797316610,	802187084038410242,	上上签,	2024-01-23 14:52:38,7分33秒,WEB,直接访问,183.230.199.80,	802179738788696068,测试环境-1,是,是,是,是,是,
3,	797915991576289281,	802188966790172673,	用户43304,	2024-01-23 15:03:58,11分24秒,WEB,直接访问,121.21.32.119,	802179738788696068,测试环境-1,是,是,是,是,是,
4,	763057278428647426,	802191473104916482,	用户36024,	2024-01-23 15:10:49,8分17秒,WEB,直接访问,42.234.218.74,	802179738788696068,测试环境-1,是,是,是,是,是,
5,	676146482423791616,	802194118850781186,	中国少年,	2024-01-23 15:26:55,13分54秒,WEB,直接访问,220.176.20.252,	802179738788696068,测试环境-1,是,是,是,是,是,
6,	781518032190312450,	802195673960292354,	用户40517,	2024-01-23 15:29:56,10分44秒,WEB,直接访问,121.30.163.62,	802179738788696068,测试环境-1,是,是,是,是,是,
7,	633791803677474816,	802195906224197633,	YY熊,	2024-01-23 15:44:07,23分59秒,WEB,直接访问,116.147.3.227,	802179738788696068,测试环境-1,是,是,是,是,是,
8,	766385413542907906,	802244000630317057,	用户37907,	2024-01-23 18:41:41,10分27秒,WEB,直接访问,125.73.92.1,	802179738788696068,测试环境-1,是,是,是,是,是,
9,	633774693194661888,	802284923678625793,	果子tian,	2024-01-23 21:26:51,12分59秒,WEB,直接访问,122.246.1.153,	802179738788696068,测试环境-1,是,是,是,是,是,
10,	690528419074539520,	802302847491510274,	1922,	2024-01-23 22:33:56,8分51秒,WEB,直接访问,124.166.206.40,	802179738788696068,测试环境-1,是,是,是,是,是,
11,	790355489568464897,	802309382833704961,	不许熬夜,	2024-01-23 23:03:01,11分58秒,WEB,直接访问,39.144.38.171,	802179738788696068,测试环境-1,是,是,是,是,是,
12,	678265376743620608,	802545614306152449,	乐意李,	2024-01-24 14:48:34,18分49秒,WEB,直接访问,219.156.235.109,	802179738788696068,测试环境-1,是,是,是,是,是,
13,	657657294154104832,	802641141936951298,	盛惊悦,	2024-01-24 21:04:57,15分37秒,WEB,直接访问,39.162.252.25,	802179738788696068,测试环境-1,是,是,是,是,是,
14,	759925175528722434,	802645247531421698,	猪头茶叶蛋,	2024-01-24 21:18:45,13分6秒,WEB,直接访问,223.104.51.203,	802179738788696068,测试环境-1,是,是,是,是,是,
15,	789936991620964354,	802958928861466626,	用户42040,	2024-01-25 18:04:58,12分52秒,WEB,直接访问,27.201.51.80,	802179738788696068,测试环境-1,是,是,是,是,是,
16,	778036466176757761,	802961889335447554,	1994,	2024-01-25 18:19:56,16分4秒,WEB,直接访问,148.197.135.205,	802179738788696068,测试环境-1,是,是,是,是,是,
17,	682985829311709184,	803023550113124354,	布罗代尔,	2024-01-25 22:25:40,16分47秒,WEB,直接访问,223.104.63.175,	802179738788696068,测试环境-1,是,是,是,是,是,
