Num,UserId,Subject IDs,Subject Name,Time,Duration,Source,Source Details,IP,NodeId,Node,Env_Q1,Env_Q2,Env_Q3,Env_Q4,Env_Q5,
序号,用户ID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,节点id,节点名称,1、您当前是否处于一个安静的环境？,2、您当前设备的网络环境是否稳定？,3、您是否已经退出电脑上登陆的所有可能弹窗的相关软件 ？,4、您的手机是否也保持熄屏状态，或者不在视线范围内 ？,5、您是否平放电脑，并且保持身体挺直？,
1,	729263916630413313,	767122454278709249,	027号,	2023-10-18 20:42:09,11分22秒,WEB,直接访问,43.250.201.67,	767119036625592323,测试环境-1,是,是,是,是,是,
2,	754335804045922305,	767122741043273730,	用户33645,	2023-10-18 20:40:43,8分49秒,WEB,直接访问,39.188.204.36,	767119036625592323,测试环境-1,是,是,是,是,是,
3,	672546881741520896,	767123384575336450,	WOSHIDABENDAN,	2023-10-18 20:45:15,10分47秒,WEB,直接访问,223.10.236.233,	767119036625592323,测试环境-1,是,是,是,是,是,
4,	590543915338170368,	767123477927960578,	一齐开心,	2023-10-18 20:49:39,14分49秒,WEB,直接访问,42.81.132.188,	767119036625592323,测试环境-1,是,是,是,是,是,
5,	590521239097835520,	767127975169888258,	weiweio,	2023-10-18 21:05:15,12分33秒,WEB,直接访问,124.236.97.162,	767119036625592323,测试环境-1,是,是,是,是,是,
6,	686480127940362240,	767131810017841153,	清秋,	2023-10-18 21:20:07,12分10秒,WEB,直接访问,223.104.195.193,	767119036625592323,测试环境-1,是,是,是,是,是,
7,	587598071420944384,	767147194473127938,	rys,	2023-10-18 22:17:31,8分26秒,WEB,直接访问,183.187.114.215,	767119036625592323,测试环境-1,是,是,是,是,是,
8,	595245798992642048,	767154822351822850,	棕咖啡,	2023-10-18 22:57:36,18分13秒,WEB,直接访问,113.119.172.226,	767119036625592323,测试环境-1,是,是,是,是,是,
9,	644508738497019904,	767169189550231553,	吃个小猫,	2023-10-18 23:46:51,10分22秒,WEB,直接访问,39.144.218.178,	767119036625592323,测试环境-1,是,是,是,是,是,
10,	598888935887732736,	767341966940839938,	向前冲,	2023-10-19 11:11:11,8分9秒,WEB,直接访问,36.98.170.159,	767119036625592323,测试环境-1,是,是,是,是,是,
11,	598944297026322432,	767360281495212033,	等你的春天,	2023-10-19 12:24:21,8分32秒,WEB,直接访问,36.137.159.85,	767119036625592323,测试环境-1,是,是,是,是,是,
12,	612329083165999104,	767392280867905537,	NIME,	2023-10-19 14:37:16,14分19秒,WEB,直接访问,115.230.127.95,	767119036625592323,测试环境-1,是,是,是,是,是,
