USERID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,浏览器,操作系统,屏幕宽度,审批状态,是否一次性作答完成,
	735455183198490626,	803646584083587074,用户31026,	2024-01-27 16:23:02.0,58分25秒,WEB,直接访问,183.251.201.109,Edge,Win,1659*945,系统采纳,是,
	803250783939338242,	803646935511863297,用户44389,	2024-01-27 16:26:56.0,1小时54秒,WEB,直接访问,220.249.162.114,Edge,Win,1393*839,系统采纳,否,
	673239924056522752,	803647088247316481,谙雎,	2024-01-27 16:27:47.0,1小时1分10秒,WEB,直接访问,223.78.156.85,Chrome,Win,1536*719,系统采纳,是,
	763092748139237377,	803648875616538625,周慧,	2024-01-27 17:01:12.0,1小时27分30秒,WEB,直接访问,175.2.31.59,Chrome,Win,1260*750,系统采纳,是,
	798267707752587265,	803648906817839105,就叫阿晓,	2024-01-27 16:38:11.0,1小时4分21秒,WEB,直接访问,27.226.22.30,Edge,Win,1185*645,系统采纳,是,
	802899041120821250,	803649197105745921,用户44330,	2024-01-27 16:25:23.0,50分24秒,WEB,直接访问,114.243.143.89,Firefox,Win,1536*703,系统采纳,是,
	672909992034041856,	803650587458801665,郭咯,	2024-01-27 16:42:58.0,1小时2分26秒,WEB,直接访问,222.219.128.253,Chrome,Win,1536*703,系统采纳,是,
	598901822953881600,	803650852169588738,wuyu,	2024-01-27 16:50:00.0,1小时8分26秒,WEB,直接访问,36.134.81.67,Edge,Win,1536*754,系统采纳,是,
	672081135265644544,	803652188772765697,刘道衡,	2024-01-27 16:43:48.0,56分55秒,WEB,直接访问,110.180.53.119,Edge,Win,1536*754,系统采纳,是,
	572562214427295744,	803655761497690114,只打雷不下雨,	2024-01-27 17:01:26.0,1小时21秒,WEB,直接访问,117.136.63.74,Chrome,Win,1093*502,系统采纳,是,
	799015908117979137,	803656911680577538,用户43429,	2024-01-27 17:14:58.0,1小时8分57秒,WEB,直接访问,120.225.24.231,Edge,Win,1177*601,系统采纳,否,
	689594271669420032,	803668313279438850,黑天,	2024-01-27 17:58:29.0,1小时7分32秒,WEB,直接访问,101.30.127.156,Edge,Win,1446*812,系统采纳,是,
	598865314549071872,	803669136394948609,SDASD,	2024-01-27 17:52:44.0,58分31秒,WEB,直接访问,36.139.195.35,Edge,Win,1442*750,系统采纳,是,
	790000811211104258,	803684195858784257,用户42088,	2024-01-27 18:49:17.0,55分13秒,WEB,直接访问,112.112.46.250,Chrome,Win,1140*547,系统采纳,是,
	696465680169435136,	803697531195367426,青山渐远,	2024-01-27 19:54:32.0,1小时7分29秒,WEB,直接访问,115.150.56.17,Chrome,Win,1366*607,系统采纳,是,
	634716408718032896,	803698756276195329,可东,	2024-01-27 19:52:31.0,1小时36秒,WEB,直接访问,218.60.118.214,Chrome,Win,1536*703,系统采纳,是,
	801783599631310849,	803700012247818242,肆柒,	2024-01-27 19:45:15.0,48分20秒,WEB,直接访问,110.187.139.120,Chrome,Win,1280*569,系统采纳,是,
	718592959586500608,	803701648198471681,醍醐,	2024-01-27 20:02:41.0,59分17秒,WEB,直接访问,60.217.78.136,Edge,Win,1536*754,系统采纳,是,
	799738310078636033,	803703487992045570,怎么回事,	2024-01-27 20:10:26.0,59分43秒,WEB,直接访问,39.144.135.39,Firefox,Win,1280*639,系统采纳,是,
	769498068633784321,	803712890795462658,路漫漫,	2024-01-27 20:43:29.0,55分24秒,WEB,直接访问,14.150.128.30,Chrome,Win,1360*607,系统采纳,是,
	796359969116135425,	803712942062313474,黎兴,	2024-01-27 20:56:45.0,1小时8分27秒,WEB,直接访问,117.181.60.201,Edge,Win,1659*945,系统采纳,是,
	803360750616846338,	803714806619185153,用户44427,	2024-01-27 21:09:15.0,1小时13分32秒,WEB,直接访问,117.151.96.233,Chrome,Win,1280*649,系统采纳,是,
	634653479763181568,	803718273039474689,一叶,	2024-01-27 21:11:15.0,1小时1分47秒,WEB,直接访问,42.180.52.65,Chrome,Win,1536*738,系统采纳,是,
	802285339656986625,	803733803871903745,日文,	2024-01-27 22:09:16.0,58分5秒,WEB,直接访问,211.90.89.74,Chrome,Win,1661*787,系统采纳,是,
	803664829670891522,	803750563534741505,小陈陈,	2024-01-27 23:23:02.0,1小时5分15秒,WEB,直接访问,39.128.249.105,Chrome,Win,1274*576,系统采纳,是,
	723128810265903104,	803755197301264385,wcn_psy,	2024-01-27 23:47:33.0,1小时11分20秒,WEB,直接访问,111.43.123.4,Edge,Win,1488*742,系统采纳,是,
	688788853804236800,	803770441310281729,cccs,	2024-01-28 00:42:33.0,1小时5分47秒,WEB,直接访问,106.61.117.181,Chrome,Win,1249*562,系统采纳,是,
	792736654921179138,	803984811076358145,用户42778,	2024-01-28 14:51:26.0,1小时2分50秒,WEB,直接访问,113.240.253.139,Chrome,Win,1920*916,系统采纳,是,
