Num,UserId,Subject IDs,Subject Name,Time,Duration,Source,Source Details,IP,NodeId,Node,Env_Q1,Env_Q2,Env_Q3,Env_Q4,Env_Q5,
序号,用户ID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,节点id,节点名称,1、您当前是否处于一个安静的环境？,2、您当前设备的网络环境是否稳定？,3、您是否已经退出电脑上登陆的所有可能弹窗的相关软件 ？,4、您的手机是否也保持熄屏状态，或者不在视线范围内 ？,5、您是否平放电脑，并且保持身体挺直？,
1,	729745091731918850,	780372160312123394,	累萝,	2023-11-24 10:10:27,10分5秒,WEB,直接访问,36.137.159.85,	774804188222984195,测试环境-1,是,是,是,是,是,
2,	557541487416442880,	780373061772910594,	meimei_o,	2023-11-24 10:20:07,16分9秒,WEB,直接访问,27.190.98.59,	774804188222984195,测试环境-1,是,是,是,是,是,
3,	730010828753080322,	780375052247109633,	岸西,	2023-11-24 10:21:01,9分1秒,WEB,直接访问,58.221.59.68,	774804188222984195,测试环境-1,是,是,是,是,是,
4,	634786876431007744,	780402715271630849,	卡布奇洛,	2023-11-24 12:22:36,20分49秒,WEB,直接访问,115.230.127.95,	774804188222984195,测试环境-1,是,是,是,是,是,
5,	734083981330616322,	780409874600304641,	kingsz,	2023-11-24 12:52:32,22分18秒,WEB,直接访问,36.148.138.221,	774804188222984195,测试环境-1,是,是,是,是,是,
6,	768419588089319425,	780410700572008450,	涵熙,	2023-11-24 12:42:42,9分11秒,WEB,直接访问,124.236.97.171,	774804188222984195,测试环境-1,是,是,是,是,是,
7,	590502391271391232,	780418309412757506,	落花殇,	2023-11-24 13:21:37,17分52秒,WEB,直接访问,116.181.10.215,	774804188222984195,测试环境-1,是,是,是,是,是,
8,	634785170985058304,	780426967030960130,	虎鲸,	2023-11-24 14:01:07,22分58秒,WEB,直接访问,222.186.57.63,	774804188222984195,测试环境-1,是,是,是,是,是,
9,	637378161314627584,	780452675262226434,	干燥小狗,	2023-11-24 15:34:28,14分9秒,WEB,直接访问,223.246.254.86,	774804188222984195,测试环境-1,是,是,是,是,是,
10,	631127599740878848,	780455833359228930,	为谁流眼泪,	2023-11-24 15:40:35,7分44秒,WEB,直接访问,218.12.16.25,	774804188222984195,测试环境-1,是,是,是,是,是,
11,	598932304420667392,	780462405632397314,	哈哈哈55223,	2023-11-24 16:07:17,8分18秒,WEB,直接访问,58.144.198.67,	774804188222984195,测试环境-1,是,是,是,是,是,
12,	598907506583928832,	780493648608628738,	清尘,	2023-11-24 18:10:44,7分37秒,WEB,直接访问,36.133.195.82,	774804188222984195,测试环境-1,是,是,是,是,是,
13,	634787525419859968,	780515139136000002,	苦gua,	2023-11-24 19:41:40,13分9秒,WEB,直接访问,219.151.28.153,	774804188222984195,测试环境-1,是,是,是,是,是,
14,	609032333906935808,	780524432207908865,	王得鱼,	2023-11-24 20:20:26,14分59秒,WEB,直接访问,119.44.61.87,	774804188222984195,测试环境-1,是,是,是,是,是,
15,	718788150628974592,	780530223153418242,	若水,	2023-11-24 20:43:02,14分35秒,WEB,直接访问,175.2.52.199,	774804188222984195,测试环境-1,是,是,是,是,是,
16,	622124635634270208,	780536395306635266,	wahh,	2023-11-24 21:06:16,13分17秒,WEB,直接访问,43.250.200.14,	774804188222984195,测试环境-1,是,是,是,是,是,
17,	774306025401749506,	780952738023481346,	你工人爷爷来啦,	2023-11-26 00:40:17,12分55秒,WEB,直接访问,182.102.223.139,	774804188222984195,测试环境-1,是,是,是,是,是,
