USERID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,浏览器,操作系统,屏幕宽度,审批状态,是否一次性作答完成,
	598867196789129216,	791616625387380738,这是一个小天才,	2023-12-25 11:57:48.0,1小时15分57秒,WEB,直接访问,219.151.28.79,Chrome,Win,1536*738,手动采纳,是,
	618876128202850304,	791637832988102657,熊腾龙,	2023-12-25 13:25:46.0,1小时19分38秒,WEB,直接访问,39.144.170.95,Chrome,Win,1274*615,手动采纳,否,
	602312870918619136,	791670017132470273,小怪兽,	2023-12-25 15:32:35.0,1小时18分33秒,WEB,直接访问,36.155.12.170,Edge,Win,1442*750,手动采纳,是,
	768533085213167618,	791678724805496834,用户38213,	2023-12-25 16:20:53.0,1小时32分15秒,WEB,直接访问,211.90.247.209,Chrome,Win,1657*770,手动采纳,是,
	738081261448597505,	791696432510935041,福气,	2023-12-25 17:14:12.0,1小时15分13秒,WEB,直接访问,61.189.20.55,Chrome,Win,1536*715,手动采纳,是,
	618773298611748864,	791714047023259649,袁某人,	2023-12-25 18:21:26.0,1小时12分27秒,WEB,直接访问,119.145.254.202,Chrome,Win,1274*615,手动采纳,是,
	656564688670162944,	791719291610468354,波纹,	2023-12-25 18:53:29.0,1小时23分39秒,WEB,直接访问,111.7.106.60,Chrome,Win,1530*720,手动采纳,是,
	618772915025870848,	791722999798829057,宋远,	2023-12-25 18:52:23.0,1小时7分49秒,WEB,直接访问,106.224.141.235,Edge,Win,1699*953,手动采纳,是,
	612753157184815104,	791753055073869825,小甜喵,	2023-12-25 20:57:53.0,1小时13分55秒,WEB,直接访问,42.84.232.79,Chrome,Win,1440*799,手动采纳,是,
	776480023275376642,	791755161243623426,兰哈哈,	2023-12-25 21:27:50.0,1小时35分28秒,WEB,直接访问,183.197.196.216,Chrome,Win,1707*785,手动采纳,是,
	598892418162491392,	791764433792802817,bba,	2023-12-25 21:45:40.0,1小时16分28秒,WEB,直接访问,36.155.12.173,Chrome,Win,1457*686,手动采纳,是,
	774615163172294657,	791769731953729537,下弦月,	2023-12-25 22:04:16.0,1小时14分1秒,WEB,直接访问,183.230.199.80,Chrome,Win,1280*576,手动采纳,是,
	757367705316888578,	791769944772841473,用户34158,	2023-12-25 21:54:44.0,1小时3分38秒,WEB,直接访问,103.27.25.86,Chrome,Win,1536*775,手动采纳,是,
	779745842755276801,	791982398165360641,啵啵啵啵,	2023-12-26 12:10:10.0,1小时14分52秒,WEB,直接访问,111.14.47.218,Edge,Win,1232*598,手动采纳,是,
	786709021557137410,	792137038794203138,用户41323,	2023-12-26 22:21:34.0,1小时11分47秒,WEB,直接访问,171.113.79.143,Chrome,Win,1360*634,手动采纳,是,
