Num,UserId,Subject IDs,Subject Name,Time,Duration,Source,Source Details,IP,NodeId,Node,Env_Q1,Env_Q2_item1,Env_Q2_item2,Env_Q2_item3,Env_Q2_item4,Env_Q3,Env_Q4,Env_Q5,Env_Q6,Env_Q7,Env_Q8,Env_Q9,Env_Q10,NodeId,Node,Env_Q1,Env_Q2,Env_Q3,Env_Q4,Env_Q5,
序号,用户ID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,节点id,节点名称,1、您是否参加过类似的实验？词汇分类？图形匹配？类似的问卷调查？,2、参加过哪种类似的实验？,2、参加过哪种类似的实验？,2、参加过哪种类似的实验？,2、参加过哪种类似的实验？,3、距离您上次参加此类测试的时间间隔为：,4、您在进行实验的过程中，实验是否正常进行？,5、您在按键行为实验的全程是否全屏？,6、请您描述一下具体出现的问题，以及发生问题的实验阶段？,7、您在进行实验的过程中，是否受到干扰？,8、请您描述一下具体受到什么干扰，以及干扰发生的时间点？,9、对此实验的建议和意见,10、您认为该实验的目的是什么？,节点id,节点名称,1、您当前是否处于一个安静的环境？,2、您当前设备的网络环境是否稳定？,3、您是否已经退出电脑上登陆的所有可能弹窗的相关软件 ？,4、您的手机是否也保持熄屏状态，或者不在视线范围内 ？,5、您是否平放电脑，并且保持身体挺直？,
1,	633791803677474816,	798560319822893058,	YY熊,	2024-01-13 15:56:20,1小时22分44秒,WEB,直接访问,113.68.111.125,	798557539385090052,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,没有意见	,目前看是个人性格，还有记忆方面的	,	798557540152647682,测试环境-1,是,是,是,是,是,
2,	676146482423791616,	798563165817540609,	中国少年,	2024-01-13 16:11:18,1小时26分23秒,WEB,直接访问,220.176.20.252,	798557539385090052,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,检验注意力	,	798557540152647682,测试环境-1,是,是,是,是,是,
3,	781518032190312450,	798563994683314177,	用户40517,	2024-01-13 15:40:34,52分22秒,WEB,直接访问,118.72.209.214,	798557539385090052,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,没有 挺有意思的	,测试反应能力	,	798557540152647682,测试环境-1,是,是,是,是,是,
4,	778036466176757761,	798565979528630274,	1994,	2024-01-13 15:56:59,1小时52秒,WEB,直接访问,183.250.30.86,	798557539385090052,问题反馈,是,词汇分类（自我—他人；积极—消极）,-888,-888,-888,B.半个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,本身在读的研究生涉及到毕业论文实验设计，所以想体验一下社科类的实验设计方法和数据收集等的整体框架。给自己更多启发的同时挣外快。	,	798557540152647682,测试环境-1,是,是,是,是,是,
5,	763057278428647426,	798568702172991489,	用户36024,	2024-01-13 16:13:13,1小时6分18秒,WEB,直接访问,39.148.160.173,	798557539385090052,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,调查人的反应和专注力	,	798557540152647682,测试环境-1,是,是,是,是,是,
6,	797758262056460290,	798574219842818050,	耀辉,	2024-01-13 16:16:10,47分20秒,WEB,直接访问,115.230.127.95,	798557539385090052,问题反馈,是,词汇分类（自我—他人；积极—消极）,-888,-888,-888,C.一个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,自我能力探究	,	798557540152647682,测试环境-1,是,是,是,是,是,
7,	790355489568464897,	798578415107186690,	不许熬夜,	2024-01-13 16:47:53,1小时2分22秒,WEB,直接访问,39.144.38.144,	798557539385090052,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,测试一个人的反应速度以及判断对错能力	,	798557540152647682,测试环境-1,是,是,是,是,是,
8,	657657294154104832,	798580920796979201,	盛惊悦,	2024-01-13 17:00:16,1小时4分47秒,WEB,直接访问,39.162.252.222,	798557539385090052,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,B.我受到他人干扰,无	,无	,测试自己的反应能力和认知能力	,	798557540152647682,测试环境-1,是,是,是,是,是,
9,	678265376743620608,	798583281582084098,	乐意李,	2024-01-13 17:12:41,1小时7分49秒,WEB,直接访问,42.232.204.234,	798557539385090052,问题反馈,是,词汇分类（自我—他人；积极—消极）,-888,-888,-888,E.半年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,图形的休息继续不太方便，建议改成空格开始	,下意识的反应能力，心理自我肯定与评价，研究心理与行为关系	,	798557540152647682,测试环境-1,是,是,是,是,是,
10,	796472353797316610,	798586241804406785,	上上签,	2024-01-13 17:03:51,47分13秒,WEB,直接访问,183.227.23.233,	798557539385090052,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,考验人的反应力	,	798557540152647682,测试环境-1,是,是,是,是,是,
11,	789936991620964354,	798589254338088962,	用户42040,	2024-01-13 17:32:30,1小时3分54秒,WEB,直接访问,27.201.51.80,	798557539385090052,问题反馈,是,词汇分类（自我—他人；积极—消极）,-888,-888,-888,D.三个月内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,可能是人的性格心理和对一些词汇的反应速度之间的关系	,	798557540152647682,测试环境-1,是,是,是,是,是,
12,	759925175528722434,	798596558240227329,	猪头茶叶蛋,	2024-01-13 17:54:51,57分15秒,WEB,直接访问,120.36.45.78,	798557539385090052,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,挺好的！	,或许是判断人的能力和自我认知的匹配？或者是他人言语对自我的影响？	,	798557540152647682,测试环境-1,是,是,是,是,是,
13,	565234044011282432,	798613860104937473,	未月十六,	2024-01-13 19:08:34,1小时2分13秒,WEB,直接访问,171.125.56.153,	798557539385090052,问题反馈,是,-888,-888,类似的问卷调查,-888,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,检查注意力，是否能集中注意力做某件事	,	798557540152647682,测试环境-1,是,是,是,是,是,
14,	797915991576289281,	798620004886253569,	用户43304,	2024-01-13 19:20:37,49分50秒,WEB,直接访问,110.250.75.178,	798557539385090052,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,判断人反应速度的快慢和准确度	,	798557540152647682,测试环境-1,是,是,是,是,是,
15,	633774693194661888,	798624727559184386,	果子tian,	2024-01-13 19:47:44,58分11秒,WEB,直接访问,122.246.1.153,	798557539385090052,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,判断人的反应力如何	,	798557540152647682,测试环境-1,是,是,是,是,是,
16,	766385413542907906,	798640745262354434,	用户37907,	2024-01-13 20:46:47,53分36秒,WEB,直接访问,116.253.130.153,	798557539385090052,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,-999,测试人们的反应能力	,	798557540152647682,测试环境-1,是,是,是,是,是,
17,	793983472925548545,	798677835421323266,	曹1,	2024-01-13 23:11:10,50分36秒,WEB,直接访问,27.19.133.7,	798557539385090052,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,探究内心的情感，对专注力的检测	,	798557540152647682,测试环境-1,是,是,是,是,是,
18,	690528419074539520,	798871467596189697,	1922,	2024-01-14 12:07:00,57分,WEB,直接访问,118.80.110.49,	798557539385090052,问题反馈,是,词汇分类（自我—他人；积极—消极）,-888,-888,-888,F.一年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,无	,认知能力判断	,	798557540152647682,测试环境-1,是,是,是,是,是,
19,	682985829311709184,	799365989513961474,	布罗代尔,	2024-01-15 21:02:27,1小时7分23秒,WEB,直接访问,223.104.77.178,	798958365920337924,问题反馈,是,词汇分类（自我—他人；积极—消极）,-888,-888,-888,E.半年内,A.一切正常,是,-999,A.我没有受到任何干扰,-999,很好	,反应速度？	,	798958366662729731,测试环境-1,是,是,是,是,是,
20,	763061574482268161,	  ,	用户36061
